Plant ID,Plant latin name,Tissue literature ID,Tissue literature name,Detail page ID,Literature code,Reference,Summary,Objectives,Materials,Explant,Initial culture,Shoot multiplication,Rooting,Acclimation,Planting,Cultivation conditions,Traints of regenerants,Ingredients analyzed,Extraction,Analitical methods,Notes,Original code,Publication,Explant sterilization,Traints of regenerant,Ingredients produced
40,Paeonia lactiflora Pallas,96,Paeonia_lactiflora-Ref-8,96,Paeonia_lactiflora-Ref-8,"Hosoki T. et al., Plant Cell Reports 8: 243-246 (1989)","A procedure for the clonal propagation of Paeonia lactiflora Pall. cvs. Takinoyosooi and Sarah Bernhardt through shoot tip culture is described. Half strength Murashige and Shoog (1962) medium supplemented with 0.5 mg/l 6-benzylaminopurine plus 1 mg/l gibberellic acid promoted formation and growth of axillary buds. Continuous shoot multiplication was achieved by vertically splitting the shoot axis and subsequent division of elongated axillary shoots every 36 days. High frequency (57- 100%) of rooting was obtained on paper- bridge liquid medium supplemented with 1 mg/l indole-3-butyric acid. Half of the rooted plantlet were established on porous soil. Thus, 700 and 300 plants of cv. Takinoyosooi and Sarah Bernhardt could be theoretically obtained from a single bud in one year.",A rapid multiplication method for herbaceous peony,Herbaceous peony cultivars Takinoyosooi and Sarah Bernhardt,early spring buds on the rhizomes,"A few scale leaves were removed and the buds were sterilized in a diluted solution of sodium hypochlorite (active chlorine 0.7%) and rinsed with a sterile water two times. Main shoot tips and axillary shoot tips (2-3 mm long) were excised after removal of small scale leaves under a dissecting microscope. The explants were placed on agar (0.8%) solidified medium (15 ml) in test tubes (2 cm ø, 15 cm long). The nutrient medium consisted of half strength Murashige and Skoog (MS) medium and Fe-EDTA, Ringe and Nitsch minor elements and vitamins and 3% sucrose at pH 5.6. BAP (0.5 mg/l) plus GA (1 mg/l) were supplemented as growth regulators for the initial culture. All the test tubes were placed at 20 ºC under 16 hr illumination from 52 µEm-2 S-1 cool white fluorescent lamps. Excised shoot tips elongated and formed axillary buds at most nodal positions.","BAP (0.5 mg/l) plus GA (1 mg/l) or only 0.5 mg/l BAP were tested for the subculture. The elongated shoot axes with 3 to 5 axillary buds were then longitudinally split into halves left. Some of the long shoots were further sectioned transversely into two so that four-stem sections were obtained. Here, each section should contain at least one axillary bud. Otherwise, no more mutiplication occurred. The average numbers of split sections obtained in cv. Takinoyosooi was 3.8 shoots, and in cv. Sarah Bernhardt 3.3 shoots. From the next division, 0.5 mg/l BAP single treatment as well as GA and BAP combination treatment was used. Within 35 days after culture, each section developed into shoots (2-3 cm long) and again produced secondary axillary buds at the nodes. Some of the axillary buds elongated and looked like branching shoots in BAP and GA combination treatment in both cultivars. From this time on, multiplication was achieved only by division of axillary shoots. About 33 days after culture, axillary buds elongated to 2-4 cm long with new axillary buds in both cultivars. Again, shoot division was achieved. This continued division was possible at 36 day intervals at least upto 5 times without losing the capacity of axillary bud formation in both cultivars. The number of divided shoots and the number of elongated axillary shoots were somewhat greater in BAP and GA combination medium than in BAP single treatment. In BAP treated shoots, many minute axillary buds were observed around the nodal area at the lower stem position. These bud aggregates were morphologically similar to those on underground rhizome or crown grown in the field. If this division was repeated in BAP plus GA medium at 36 day intervals for one year including the time for initial shoot elongation (2-3 months), more than 5000 shoots could be theoretically obtained from a single bud. This number is similar to that in multiplication of Japanese horseradish for which a similar shoot split method was developed. This multiplication method is much easier and more practical, compared with that of somatic embryogenesis from callus of seed embryo.","For rooting, shoot (2-3 cm long) was transferred to 0.1 mg/l or 1 mg/l of NAA and IBA supplemented agar solidified medium. The 0.1 mg/l of both auxins produced roots only in 0-40% of the shoots in both cultivars whereas 1 mg/l of them produced roots in 40-80% of the shoots but it took over 3 months (data not shown). Therefore, paper-bridge method on liquid culture was adopted to expose stem-base to more oxygen. One mg/l of NAA or IBA was again used. Within 2 months. 100% IBA treated shoots produced roots in cv. Takinoyosooi and 57% in cv. Sarah Bernhardt. NAA produced roots in 40% and 70% of the plants, respectively, but it also produced callus at the stem-base, which caused tissue decay by fungus attack after ex vitro culture. IBA treated plantlets with roots were transferred to a porous soil medium under plastic cover at 18- 20ºC under 16 hr illumination from 52 µEm-2s-1 cool white fluorescent lamps. More than half of shoots were established. The remaining plants turned yellow. Such an incomplete establishment may be due to lift-up of the shoots above paper- bridge as the roots grew down during culture. Therefore, nutrient absorption became insufficient. Such a problem is being resolved by placing shreds of gauze about 4mm thick on the paper- bridge where roots penetrate into medium and good aeration is maintained. Although more efficient acclimatization after ex vitro culture must be established, we have demonstrated a clonal propagation system of commercial cultivars of Paeonia lactiflora by a shoot splitting method and subsequent division of axillary shoots.",,,,,,,,,,,,,
40,Paeonia lactiflora Pallas,106,Paeonia_lactiflora-Ref-9,106,Paeonia_lactiflora-Ref-9,"Gabryszewska E., Journal of Fruit and Ornamental Plant Research, 18(2):309-320 (2010)","Herbaceous peony plants successfully propagated in vitro do not survive the transfer to the ex vitro environment. For other species, storage organ formation in vitro can limit the loss of plants during acclimatization. In the natural conditions, the renewal buds for the following year originate on the underground crown (metamorphosed underground shoot, rhizome) of herbaceous peony. A perennial crown and roots serve for the accumulation of the storage products and plant renewal. The aim of the experiment was to investigate the influence of glucose (30, 60, 90 g l-1) and growth regulators (kinetin, IBA, GA3) on the shoot, renewal bud, root growth and development of Paeonia lactiflora 'Jadwiga’ in vitro. Excision of all leaves from isolated explants inhibited production of new shoots and leaves, and evidently induced formation of renewal buds. Increasing the glucose supply, especially in the absence of growth regulators, decreased production of shoots and outgrowth of leaves. The stronger inhibition of shoot growth by glucose was observed on the explants without leaves. By contrast, the beneficial effect of glucose on renewal bud formation was observed. A single supply of kinetin, IBA or GA3 stimulated shoots and leaf growth and inhibited renewal bud formation, on the explants isolated with leaves. Interaction of kinetin, GA3 and IBA (added together) and the highest glucose level enhanced the growth of shoots on the explants containing leaves, and increased the number of renewal buds, on the explants without leaves. Increasing glucose level enhanced the number of roots in the absence of growth regulators on the explants containing leaves. The supply of IBA in the medium containing 30 g l-1 glucose, stimulated the root production on the explants without leaves. The addition of GA3 or kinetin (singly or simultaneously with IBA) to the medium with different concentrations of glucose, strongly inhibited rooting. The results presented here, show that a high level of glucose and exogenous growth regulators (kinetin, GA3, IBA) together stimulate shoot and renewal bud formation but the way of organogenesis depends on the presence or absence of leaves. The interaction between auxin (exogenous or endogenous) and glucose regulate root formation on the peony shoots but the final effect depends on the type of explants (with or without leaves). It is possible that leaves have a very important hormonal factors, which stimulate shoot growth or rooting and inhibit renewal bud formation.","To investigate the influence of glucose (30, 60, 90 gl-1) and growth regulators (kinetin, IBA, GA3) on the shoot, renewal bud, root growth and development of Paeonia lactiflora ’Jadwiga’ in vitro",Paeonia lactiflora ’Jadwiga’,The pieces of crown with one shoot (with or without leaves) excised from Paeonia lactiflora 'Jadwiga' propagated on the Murashige and Skoog (MS) medium containing kinetin 1 mgl-1 + 2iP 1 mgl-1 + BAP 1 mgl-1 + TDZ 0.01 mgl-1 and sucrose 30 gl-1.,Plant material used for the experiment (Paeonia lactiflora ‘Jadwiga’) was propagated on the MS medium containing: kinetin 1 mgl-1 + 2iP 1 mgl-1 + BAP 1 mgl-1 + TDZ 0.01 mgl-1 and sucrose 30 gl-1,"Two different inocula (the pieces of crown with one shoot with or without leaves) were used. The influence of glucose (30, 60, 90 gl-1) and kinetin 1 mgl-1, GA3 1 mgl-1, IBA 1 mgl-1 (added to the medium alone or together) on the shoot, renewal bud and root formation was investigated. Culture conditions were a 16 h photoperiod provided by coolwhite fluorescent lamps (Philips TLD 36W/95) at 80 μmolm-2s-1 and a temperature of 25 °C. Excision of all leaves promoted the renewal bud formation in the absence of exgenous growth regulators as well as in their presence in the medium. The renewal bud formation was induced by glucose on a growth regulator-free medium. Interaction of all growth regulator (kinetin, GA3, IBA added together) and high glucose level induced renewal bud formation (about 4.5/inoculum), on the inocula without leaves. The addition of 1 mgl-1 kinetin, IBA or GA3 (singly or together) inhibited renewal bud formation on the inocula with leaves.","Leaves as the source of endogenous growth regulators influenced root formation. Inocula with leaves produced roots on the growth regulator-free medium but with the presence of glucose. Increasing glucose level strongly enhanced the number of roots (from 0.4 to 2.6 roots/inoculum) in the absence of grwoth regulators, on the inoculum with leaves. But the addition of GA3 or kinetin to the medium with different concentrations of glucose strongly inhibited rhizogenesis. Also, the presence of GA3 and kinetin (added together) in the IBA-containing medium significantly suppressed the rooting on the both kinds of inocula. The excision of leaves and supply of IBA (1 mgl-1) promoted rhozogenesis (3 roots/inoculum) on the shoots growing at the lowest concentration of glucse (30 gl-1).",,,,,,,,,,,,,
40,Paeonia lactiflora Pallas,107,Paeonia_lactiflora-Ref-10,107,Paeonia_lactiflora-Ref-10,"Kakutani K, Jpn. Kokai Tokkyo Koho (2009), JP 2009232691 A 20091015.",The growing point of rhizome of P. lactiflora trichocarpa is used as explant and cultivated under low O (15-1%) and in the presence of chelated iron such as NaFeEDTA 10-100 μM for micropropagation without browning of the culture broth. The method is used for commercial manufacture of the P. lactiflora trichocarpa which has male sterility and which is useful for making crude drug.,,,,,,,,,,,,,,,,,,,
60,Paeonia suffruticosa Andrews,75,Paeonia_suffruticosa-Ref-1,75,Paeonia_suffruticosa-Ref-1,"Margherita Beruto et al, Plant Cell, Tissue and Organ Culture 79: 249–255 (2004)","We investigated the in vitro propagation by axillary budding of different cultivars of tree peonies, selected for cut flower production under Mediterranean conditions. Buds with expanded leaves were better to initiate cultures than just emerged ones (64% compared to 43%). The aptitude for micropropagation was genotype-dependent, and the propagation ratio ranged between 2 and 5 per cycle. Tendency to necrosis and/or hyperhydricity were also genotype dependent. Indole-3-butyric acid improved rooting but was not really necessary provided the shoots were pre-treated at 2 ℃ for 7 days. Plantlets were successfully acclimatized under in vivo conditions. Adventitious propagation was achieved using filaments and petals as explants. They first developed callus, able to regenerate shoots after 8 weeks on media supplemented with thidiazuron.",Micropropagation of tree peony,"Seventeen Chinese cultivars (‘Bai Yu’, ‘Feng Dan Bai’, ‘Shi Yuang Bai’, ‘White Pearl’, ‘Xue Lian’, ‘Yao Huang’, ‘Huang Yu’, ‘Orange Yellow’, ‘Golden Palace’, ‘Hu Hong’, ‘Da Jin Fen’, ‘Fish Scale Pink’, ‘Zhuang Yuan Hong’, ‘Zi Zy Qiao’, ‘First Red’, ‘Red Diamond’ and ‘Zhu Sha Lei’), two Japanese cultivars (‘Orange’ and ‘Red’) and an old traditional cultivar from our region (‘Old Pink’) were used in our experiments.","Axillary buds, Filaments, petals","Axillary propagation was performed in 25×150 mm test tubes, containing 10 ml of agargelled medium and closed by a plastic cap (Bellco Kaputs ). Flower parts were cultured in Petri dishes (35 mm diameter) containing 5 ml of medium during the initiation phase; larger Petri dishes (60 mm diameter) filled with 15 ml of medium were used subsequently. The pH of all media was adjusted to 5.85 ±0.01 while the media were liquid (T=76 ℃ ± 1) and before autoclaving at 120 ℃, 101 kPa,15 min. Culture room conditions: photoperiod 12 h/day; PAR 50 lmol m 2 s 1 (fluorescent tubes: TLD 36W/33 Philips) and room temperature of 19 ± 1℃. For rooting, cultures were first kept in the dark for 14 days, and subsequently returned to the light conditions.","The WPM medium (Lloyd and McCown, 1980) containing a doubled concentration of Ca2+ (6 mM) and supplemented with citric acid (0.36 mM), ascorbic acid (0.28 mM), BA (4.44 μM) and 0.8% agar (BV cd S-1000) was used. Flower buds harvested 15–20 days before flower opening and maturity were excised; petals of 1–2 cm2 surface and 1 cm long filaments were removed and cultured on gelled (0.8% BV agar S-1000) MS (Murashige and Skoog, 1962) medium supplemented with sucrose 3% and different hormonal formulations (NOA 0.49 μM; 2iP 24.60 μM and PIC 4.14 μM; TDZ 2.27 μM; TDZ 2.27 μM and 2,4-D 9.05 μM).","The WPM medium (Lloyd and McCown, 1980) containing a doubled concentration of Ca2+ (6 mM) and supplemented with citric acid (0.36 mM), ascorbic acid (0.28 mM), IBA (0; 1.23; 2.46; 4.92 or 49.21 μM) and 0.8% agar (BV cd S-1000) was used for the complete rooting period (Treatments A).Rooting took also place without IBA (±10%), but it increased to 50% with IBA 49.20 μM. As an alternative, the aforementioned treatments were used for 2 weeks before transfer to hormone free medium supplemented with 0.3% of charcoal (Treatments B). A third rooting approach was to culture the plants on hormone free medium and give them a cold treatment (2℃) for 7 days, in the dark, before transfer to the aforementioned IBA treatments for 2 weeks (Treatments C).Chilling microcuttings before transfer to root induction medium, had a beneficial effect on rooting percentage when no hormones were supplied.","Gradual acclimatization of rooted plantlets to in vivo conditions was performed by transferring the in vitro plants to glass vessels (500 ml) filled with sterilized milled peat (Rekiva, cd 1A) and perlite (Perlite Italiana, nr 3) (1:1), maintained under the same conditions as the culture room, for 4 weeks.","the plantlets were transferred to greenhouse conditions (unheated greenhouse) and received standard cultural practices regarding nutrition, irrigation and pest control (Rogers, 1996; Lianying, 1998). Gradual acclimatization of plantlets in closed containers placed in the culture room resulted in plantlets of good quality which could be transferred to greenhouse conditions, with a survival rate of 80 ± 10%.",,,,,,,,,,,
53,Panax ginseng C. A. Mey.,13,Panax_ginseng-Ref-1,13,Panax_ginseng-Ref-1,"Choi YE et al., Plant Cell Reports 18: 493-499 (1999)","Abstract Coty1edon exp1ants of immature ginseng zyｭ gotic embryos cu1tured on Murashige and Skoog medium lacking growth regu1ators formed somatic embryos di ・ rect1y, most in a mu1tip1e state, fused together and to the parent coty1edon exp1ants. When the coty1edon explants of ginseng were pretreated with 1.0 M sucrose for 24-72 h, al the somatic embryos developed individually from all surfaces of the cotyledons and the number of somatic emｭ bryos per explant was enhanced fourfold.Hi sto10gical obｭ servation revealed that all the single somatic embryos from preplasmolysed cotyledons originated from epidermal sirト gle cells, whereas all the multip1e embryos from coty1eｭ dons without pretreatment originated from epiderma1 and subepidermal cell masses.W hen the somatic embryos ma・ tured to the cotyledonary stage, further growth ceased and they remained white, probab1y indicating dormancy. Gibｭ berellic acid (GA3) (over 1.0 mg/1) or chi11ing treatment (-20C for over 8 weeks) were prerequisites for the germiｭ nation of somatic embryos.U1 trastructural observation reｭ vealed that the cotyledon cells of somatic embryos withｭ out chilling or GA3 treatment contained numerous 1ipid reｭ serves, dense cytop1asm, proplastids and non-activated miｭ tochondria, whereas the cotyledon cells of somatic emｭ bryos after chi11ing or GA3 treatment were highly vacuoｭ lated and contained well-developed chloroplasts and acｭ tive-state mitochondria enc10sing numerous cristae, indiｭ cating that in-vitro-deve10ped somatic embryos of P.gi n- l 叩a句y be刊 dd… tωo zygo飢ti比c embryos.",,,,,,,,,,,,,,,,,,,
53,Panax ginseng C. A. Mey.,14,Panax_ginseng-Ref-2,14,Panax_ginseng-Ref-2,"Tang DC and Choi YE, Plant Cell Reports 19: 491-496 (2000)","Hairy roots of Panax ginseng were obtained after root disks were infected with wild-type strain Agrobacterium rhizogenes 15834. Three lines of hairy roots with different pigmentation were selected. Embryogenic callus was induced on Murashige and Skoog medium containing 1.0 mg/l 2,4-D. The frequency of embryogenic callus formation was 37.4% in a line with red pigmantation. Somatic embryo development from embryonic callus was efficiently achieved by lowering the concentration of 2,4-D(0.5 mg/l).After the germination of somatic embryos on medium with 10 mg/l GA3, the embryos were transferred to 1/2-MS medium without GA3. The transformed ginseng plantlets had an actively growing root system with abundant lateral roots. THe phenotypical alteration of transformed ginseng plants might be valuable character for increasing root yield.",,,,,,,,,,,,,,,,,,,
53,Panax ginseng C. A. Mey.,15,Panax_ginseng-Ref-3,15,Panax_ginseng-Ref-3,"Choi YE et al., Plant Cell Reports 17: 544-551 (1998)","Cotyledon explants of Korean ginseng (Panax ginseng C. A. Meyer) produced somatic embryos directly on growth regulator-free medium. Somatic embryos developed as either multiple or single-state forms, depending on the degree of maturity of the cotyledons. Cotyledon explants from midmature zygotic embryos formed multiple embryos, while cotyledons from fully mature zygotic embryos formed single embryos. Somatic single embryos regenerated into normal plantlets with both roots and shoots, while multiple embryos did not produce roots but regenerated only into multiple shoots. In full-strength MS basal medium, the root growth of plantlets derived from single embryos was weak compared to that of shoots. Deletion of ammonium nitrate from the MS medium promoted the root growth of the plantlets. The ginseng plants with well-developed shoots and roots regenerated from single embryos were successfully acclimatized in a greenhouse when they were planted in soil.",,,,,,,,,,,,,,,,,,,
53,Panax ginseng C. A. Mey.,16,Panax_ginseng-Ref-4,16,Panax_ginseng-Ref-4,"Lim HT et al., Plant Cell, Tissue and Organ Culture 49: 179-187 (1997)","Plant regeneration ability of ginseng (t Panax ginseng C.A. Meyer) via organogenesis was studied. Compact callus was induced from four different types of explants-leaf, petiole, flower stalk, and root of t in vitro-grown plantlets. Petioles were found to be the best material for callus induction. Calli induced on Murashige and Skoog (MS) medium supplemented with 2,4-dichlorophenoxyacetic acid (4.5 µM) and kinetin (0.46 µM) were conditioned for two weeks on the same medium. These calli differentiated into adventitious shoots when cultured on 1/2MS basal medium plus kinetin 4.7 µM and silver thiosulphate 10 µM. An addition of GA3 (2.9 µM) and BA (4.4 µM) to MS basal medium, however, induced high frequency t in vitro flowering (86.1%) and multiple shoot budding which affected the normal complete development of plantlets. Plantlets with a well-developed root system were obtained six weeks after regenerated shoots had been transplanted to 1/2 MS20 medium containing IBA 1.2 µM. Nuclear DNA content was measured to check the stability of their ploidy level. Based on DNA flow cytometric analysis, all the regenerants were typically diploids as the mother plants were, indicating that nuclear DNA content remained stable during cell differentiation.",,,,,,,,,,,,,,,,,,,
53,Panax ginseng C. A. Mey.,17,Panax_ginseng-Ref-5,17,Panax_ginseng-Ref-5,"Asaka I et al., Planta Medica 59: 345-346 (1993)","We developed a new technology to induce embryoids by a moderate high temperature treatment from multiple shoots of Panax ginseng (Araliaceae). The number of formed embryoids was 10 times higher than that of untreated tissue. Normal plantlets were regenerated from the embryoids by transplanting them on a hormone-free medium. They contained ginsenosides Rb1, Rg1 and the other saponins as well as those of natural ginseng.",,,,,,,,,,,,,,,,,,,
53,Panax ginseng C. A. Mey.,18,Panax_ginseng-Ref-6,18,Panax_ginseng-Ref-6,"Arya S. et al., Plant Cell Reports 10: 277-281 (1991)","Protoplasts of Panax ginseng were isolated from embryos obtained from the 4-year old embryogenic cell line KCTC PCL 49031 which was derived from a zygotic embryo. High protoplast yields of 22–25 × 106 protoplast / g tissue were obtained following 5–6 h digestion with 2% Cellulysin, 1% Pectinase and 1% Macerasae in half strength Murashige and Skoog's medium containing 12% mannitol. A plating density of 1×105 protoplasts /ml was found optimal for protoplast culture. An initial division frequency of 10% was obtained in an agarosegelled defined medium. Myo-inositol (6%) was found to be the most suitable osmoticum. Somatic embryos were formed from protoplast derived embryogenic callus, which regenerated into plantlets.",,,,,,,,,,,,,,,,,,,
53,Panax ginseng C. A. Mey.,19,Panax_ginseng-Ref-7,19,Panax_ginseng-Ref-7,"Shoyama Y et al., Planta Medica 54: 155-156 (1988)","Embryogenesis of Panax ginseng was induced from young flower buds via callus during a 3 months culture period. Matured embryos could be germinated on the 1/2 Murashige and Skoog's medium supplemented with GA3 (1.4 µM)-BAP (2.2 µM) and 1.5% sucrose. In the medium containing 1.4 µM GA3 and 11.1 µM BAP, a multiple shoot complex having 8 shoots per segment was formed from a single shoot set. On the other hand, the addition of 11.1 µM BAP and 1.4 µM GA3 to the medium stimulated the flower bud formation. For root formation of shoots, the MS medium supplemented with 5.4 µM NAA was the most favourable. Subsequently the plantlet was transferred to vermiculite.",,,,,,,,,,,,,,,,,,,
53,Panax ginseng C. A. Mey.,20,Panax_ginseng-Ref-8,20,Panax_ginseng-Ref-8,"Arya S et al., Plant Cell, Tissue and Organ Culture 34: 157-162 (1993)","Somatic embryos and embryogenic callus were initiated from immature zygotic embryos of ginseng (Panax ginseng C.A. Meyer). These somatic embryos were multiplied by adventitious (secondary and tertiary) embryogenesis and their growth and development were dependent on growth hormones in the medium. Auxins, 2,4-D, NAA, and IAA at 1.0 mg 1-1 were effective in inducing secondary and tertiary somatic embryos, which proliferated directly from the apical or cotyledonary portions of the primary somatic embryos. Single somatic embryos or clusters of embryos developed from the explanted primary embryos. Cytokinin (Kn, BA) inhibited adventitious embryogenesis. Secondary somatic embryos developed to maturation and later regenerated into plantlets in two stage process; firstly elongation of the shoot axes on MS +1.0 mg 1-1 Kn, secondly formation of root on 1.0 mg 1-1 Kn + 1.0 mg 1-1 GA 3 medium.",,,,,,,,,,,,,,,,,,,
